52	369470	2691
371906	485846	678
488172	1023556	3034
1025592	1242524	1057
1244950	1454149	1127
1456770	1854132	2004
1856646	1862648	42
1864839	1962150	524
1964243	2805582	5505
2807771	2869204	433
2871308	3442501	2930
3444911	3731221	2211
3733275	5309656	10933
5311699	5454383	801
5456537	5619758	1042
5621868	6727432	9412
6729875	8968514	23165
8970657	9381236	3612
9383266	9459930	592
9462453	11866881	16263
11869019	12517198	3700
12519214	13499630	5030
13502175	14127879	3402
14129969	16307778	15793
16309860	16511095	1242
16513495	16695037	1177
16697277	17491118	4640
17493777	17926172	2514
17928295	18087599	638
18089787	21032718	22130
21034822	22236692	9131
