121511	147420	144
148659	170777	379
263357	267001	16
357881	365644	22
428997	442287	91
452849	470295	199
644853	686278	253
774379	783626	41
791316	819364	286
825324	826450	9
878590	887846	40
959743	961844	10
962936	972221	61
1088830	1104073	74
1213489	1215003	15
1216163	1230752	91
1274336	1275331	6
1359040	1369149	47
1456770	1460756	15
1586613	1594437	24
1770143	1774707	32
1856646	1862648	42
1881261	1883186	26
1894138	1898970	31
1900002	1918950	101
1923222	1928193	17
2113230	2119164	89
2120422	2124955	34
2147430	2153650	20
2215932	2235259	342
2277235	2295274	123
2296516	2352089	398
2381538	2398475	89
2526959	2537016	75
2538559	2581167	461
2639502	2659882	126
2739765	2774574	175
2776879	2800063	163
2835671	2841995	31
2842998	2869204	188
2950925	2992386	192
3118825	3146727	185
3152930	3166438	184
3189209	3192709	23
3194802	3220888	125
3222042	3228723	58
3230105	3233484	17
3247900	3262899	91
3316800	3326487	66
3541712	3577099	177
3578917	3696294	839
3697680	3699680	10
3844210	3854018	61
3913583	3922732	57
3973532	3996715	108
4011240	4021498	42
4064960	4069597	21
4092906	4114932	122
4238731	4296717	469
4369706	4379403	101
4383709	4391259	47
4410482	4439270	226
4440386	4453322	104
4941934	4983431	221
5081829	5092468	43
5121568	5130031	35
5145275	5147211	10
5311699	5325068	59
5456537	5467841	84
5489127	5507532	192
5607932	5619758	59
5932965	5988069	394
6002299	6007964	30
6252560	6258841	37
6757066	6768917	54
7043136	7114435	478
7223817	7313124	1231
8189495	8208558	121
8954777	8968514	57
8983445	8990343	41
9053271	9065077	72
9067795	9081322	70
9204233	9326862	1516
9760816	9809558	474
9916863	9922497	41
9955179	9958823	17
9977607	9991389	91
10064713	10066654	8
10067666	10140445	515
10335495	10359544	279
10403113	10408629	29
10410017	10415501	28
10439859	10447100	51
10478947	10480840	7
10481902	10509437	152
10526019	10541924	67
10580494	10633705	570
10816923	10834667	138
11007951	11023832	44
11131898	11157882	117
11291195	11293821	12
11333650	11349438	115
11672909	11677307	30
11712816	11745697	156
11746798	11747788	15
11918742	11922946	44
12260948	12274209	80
12393578	12408857	97
12410259	12433547	129
12467535	12483770	84
12512095	12517198	21
12712782	12738444	108
12743345	12781450	253
12875705	12879890	18
13007737	13021611	110
13022794	13024291	9
13168242	13169660	14
13271060	13301845	169
13302999	13330819	165
13397597	13409762	55
13410797	13415057	18
13417633	13428412	67
13523267	13527468	23
13570086	13579852	33
13605625	13611636	27
13755935	13765782	45
13866896	13870851	24
14032093	14041442	46
14052164	14065294	97
14129969	14134977	16
14324200	14353905	197
14660394	14684922	202
14984961	14991904	36
15075484	15110176	177
15290402	15367922	520
15369617	15374787	57
15683919	15689089	57
15753558	15757282	19
16035663	16039800	36
16041607	16043656	9
16070750	16079835	48
16153006	16161524	40
16176359	16184847	34
16185897	16210587	100
16413699	16422631	87
16608302	16632390	259
16661453	16663949	17
16705174	16710938	25
16745914	16748592	10
17185620	17194431	84
17214993	17218084	8
17231473	17234032	8
17443015	17450326	34
17486643	17491118	18
17531545	17535566	32
17536602	17538986	14
17713772	17734288	95
17735347	17749180	74
17750598	17788294	206
17869903	17897757	208
17928295	17934366	26
17940650	17948789	35
17951462	17961817	41
17968179	17969630	7
17989798	17991692	23
17992707	17997509	24
18144718	18162553	92
18163698	18195955	162
18472830	18481264	44
18482420	18502797	238
18813669	18825701	66
18864232	18870841	43
19005846	19011682	25
19088759	19147647	562
19182952	19323535	1276
19337623	19374095	213
19531736	19567256	277
20153922	20210980	372
20212145	20216040	34
20218625	20289315	469
20337906	20421079	543
20473912	20517488	274
20614379	20629036	75
20724008	20725718	12
20838076	20873758	240
21055157	21086529	373
21361923	21449658	555
21970078	21973128	18
22070489	22104209	243
22105596	22158680	438
22161638	22165540	22
22217594	22236692	139
22434438	22438089	24
22458114	22493252	231
22494656	22519365	145
22636837	22641305	37
22753960	22797538	276
22804427	22810398	35
22982667	23053369	472
23291357	23303927	54
